0610007p14rik	0610007p14rik
0610009b22rik	0610009b22rik
0610009l18rik	0610009l18rik
0610009o20rik	0610009o20rik
0610010f05rik	0610010f05rik
0610010k14rik	0610010k14rik
0610011f06rik	0610011f06rik
0610012g03rik	0610012g03rik
0610025j13rik	0610025j13rik
0610030e20rik	0610030e20rik
0610031o16rik	0610031o16rik
0610033m10rik	0610033m10rik
0610037l13rik	0610037l13rik
0610039k10rik	0610039k10rik
0610040b10rik	0610040b10rik
0610040f04rik	0610040f04rik
0610040j01rik	0610040j01rik
0610043k17rik	0610043k17rik
1010001b22rik	1010001b22rik
1010001n08rik	1010001n08rik
1110001j03rik	1110001j03rik
1110002l01rik	1110002l01rik
1110004e09rik	1110004e09rik
1110004f10rik	1110004f10rik
1110006o24rik	1110006o24rik
1110008f13rik	1110008f13rik
1110008l16rik	1110008l16rik
1110008p14rik	1110008p14rik
1110012l19rik	1110012l19rik
1110017d15rik	1110017d15rik
1110019d14rik	1110019d14rik
1110020a21rik	1110020a21rik
1110028f18rik	1110028f18rik
1110032a03rik	1110032a03rik
1110034g24rik	1110034g24rik
1110035h17rik	1110035h17rik
1110037f02rik	1110037f02rik
1110038f14rik	1110038f14rik
1110046j04rik	1110046j04rik
1110051m20rik	1110051m20rik
1110059e24rik	1110059e24rik
1110059g10rik	1110059g10rik
1110065p20rik	1110065p20rik
1190002n15rik	1190002n15rik
1190005i06rik	1190005i06rik
1190007i07rik	1190007i07rik
1200007c13rik	1200007c13rik
1300002e11rik	1300002e11rik
1300017j02rik	1300017j02rik
1500002c15rik	1500002c15rik
1500002f19rik	1500002f19rik
1500011b03rik	1500011b03rik
1500011k16rik	1500011k16rik
1500015a07rik	1500015a07rik
1500026h17rik	1500026h17rik
1600002h07rik	1600002h07rik
1600002k03rik	1600002k03rik
1600010m07rik	1600010m07rik
1600012h06rik	1600012h06rik
1600014c10rik	1600014c10rik
1600020e01rik	1600020e01rik
1700001c19rik	1700001c19rik
1700001l05rik	1700001l05rik
1700001l19rik	1700001l19rik
1700003e16rik	1700003e16rik
1700003f12rik	1700003f12rik
1700007f19rik	1700007f19rik
1700007k13rik	1700007k13rik
1700007l15rik	1700007l15rik
1700008j07rik	1700008j07rik
1700008o03rik	1700008o03rik
1700010i14rik	1700010i14rik
1700011h14rik	1700011h14rik
1700012l04rik	1700012l04rik
1700016c15rik	1700016c15rik
1700016l21rik	1700016l21rik
1700017b05rik	1700017b05rik
1700018l02rik	1700018l02rik
1700019a02rik	1700019a02rik
1700019g17rik	1700019g17rik
1700020i14rik	1700020i14rik
1700021f05rik	1700021f05rik
1700022i11rik	1700022i11rik
1700022n22rik	1700022n22rik
1700024p16rik	1700024p16rik
1700025b11rik	1700025b11rik
1700025g04rik	1700025g04rik
